Vote by County,Trump,Clinton,Rpt.,State
Sauk,15871,16050,100%,WI
Roane,15863,4833,100%,TN
Cranston,15850,18644,100%,RI
Hamblen,15839,4075,100%,TN
Coffee,15825,4194,100%,AL
Washington,15810,5047,100%,OK
Campbell,15778,1324,100%,WY
Pope,15694,4818,100%,AR
Clallam,15685,15154,83%,WA
Wood,15681,2624,100%,TX
Blue Earth,15667,14428,100%,MN
Herkimer,15664,7289,100%,NY
Kendall,15663,3633,100%,TX
Troup,15643,9597,100%,GA
Spalding,15636,9347,100%,GA
Perry,15613,4630,100%,PA
Logan,15586,4537,100%,OH
Pearl River,15530,2919,100%,MS
Wyandotte,15520,29346,100%,KS
Davie,15502,5228,100%,NC
Lincoln,15499,8076,100%,SD
Jessamine,15474,6144,100%,KY
Rice,15429,14437,100%,MN
Preble,15376,4323,100%,OH
Calumet,15345,9634,100%,WI
Hopkins,15277,4310,100%,KY
Wayne,15269,6398,100%,PA
Venango,15254,5889,100%,PA
Henry,15207,8199,100%,VA
Newaygo,15174,6212,100%,MI
Gordon,15171,3176,100%,GA
Cherokee,15165,6089,100%,SC
Tazewell,15160,2895,100%,VA
Forrest,15149,11271,100%,MS
Reno,15100,6670,100%,KS
Chelan,15070,10770,81%,WA
Chilton,15068,2909,100%,AL
Fremont,15066,5275,100%,CO
Scott,15052,7713,100%,KY
Muskogee,15029,7969,100%,OK
Tehama,14981,6571,100%,CA
Darlington,14973,13866,100%,SC
Madison,14901,10548,100%,NY
St. Joseph,14886,7529,100%,MI
Warren,14773,10371,100%,IA
Sioux,14761,2289,100%,IA
Sampson,14761,10486,100%,NC
Jefferson,14760,3490,100%,TN
Nacogdoches,14751,6822,100%,TX
Putnam,14704,2874,100%,OH
Nevada,14686,16199,100%,CA
Rusk,14675,3935,100%,TX
Ravalli,14673,6166,100%,MT
McMinn,14673,3507,100%,TN
Baxter,14655,4163,100%,AR
Marquette,14646,16042,100%,MI
Sullivan,14626,10983,100%,NY
Burnet,14595,3785,100%,TX
Marion,14592,6926,100%,WV
Seneca,14559,7237,100%,OH
Lamar,14546,3579,100%,TX
Jefferson,14533,3437,100%,PA
McDowell,14517,4645,100%,NC
Beaufort,14478,8699,100%,NC
Bulloch,14476,8812,100%,GA
Buffalo,14424,4690,100%,NE
Coffee,14409,4741,100%,TN
Huntingdon,14369,4487,100%,PA
St. Mary,14353,8050,100%,LA
Ogle,14344,8025,100%,IL
Douglas,14308,30089,100%,KS
Montrose,14303,5438,100%,CO
Warren,14284,11366,100%,NY
Suwannee,14281,3955,100%,FL
Broomfield,14272,19530,100%,CO
Brown,14257,4270,100%,OH
Richmond City,14254,74640,100%,VA
Cass,14241,7270,100%,MI
Jackson,14231,6383,100%,FL
Marin,14214,69518,100%,CA
Santa Fe,14198,49956,100%,NM
Macoupin,14194,6532,100%,IL
Columbus,14177,8991,100%,NC
Plymouth,14168,15323,100%,MA
Stephens,14166,3084,100%,OK
Columbia,14160,13525,100%,WI
Hall,14139,6142,100%,NE
Christian,14108,7188,100%,KY
Hillsdale,14094,4799,100%,MI
Shenandoah,14078,5269,100%,VA
Mifflin,14050,3563,100%,PA
Goodhue,14041,9446,100%,MN
Lawrence,14034,4210,100%,IN
Wilson,13991,4790,100%,TX
Douglas,13966,6227,100%,MN
Henry,13962,8835,100%,IL
Henry,13895,5124,100%,IN
Howell,13888,2880,100%,MO
Polk,13864,7568,100%,WI
Alexander,13826,3750,100%,NC
Yadkin,13815,3140,100%,NC
Dale,13798,4408,100%,AL
Gibson,13779,5255,100%,TN
Levy,13758,5091,100%,FL
Carter,13751,4002,100%,OK
Hancock,13720,3320,100%,MS
Johnson,13702,5924,100%,MO
Gila,13672,6746,100%,AZ
Butler,13647,3036,100%,MO
Isanti,13635,5656,100%,MN
Lee,13625,10380,100%,NC
Effingham,13613,3071,100%,IL
Logan,13613,4239,100%,OK
Barron,13595,7881,100%,WI
Boyd,13591,6021,100%,KY
Clay,13549,12974,100%,MN
Elko,13542,3400,100%,NV
Mason,13539,11872,94%,WA
Watauga,13521,13953,100%,NC
Granville,13500,12827,100%,NC
Tuolumne,13486,8580,100%,CA
Barren,13483,4275,100%,KY
Vernon,13471,2665,100%,LA
Clinton,13466,3943,100%,OH
Rockdale,13463,23206,100%,GA
Sanilac,13446,4873,100%,MI
Maui,13445,33479,100%,HI
Nelson,13430,6434,100%,KY
Fulton,13419,5981,100%,OH
Grundy,13417,8021,100%,IL
Milford,13386,13596,100%,CT
Botetourt,13369,4492,100%,VA
Saline,13367,6084,100%,KS
Dubois,13365,5389,100%,IN
Monroe,13361,3184,100%,TN
Lenoir,13354,11752,100%,NC
Le Flore,13346,3245,100%,OK
Culpeper,13341,7744,100%,VA
Nye,13320,5095,100%,NV
Quincy,13297,25298,100%,MA
Susquehanna,13295,5065,100%,PA
Chambers,13278,2939,100%,TX
Grays Harbor,13269,11378,95%,WA
Crawford,13265,4518,100%,OH
Oconto,13255,5886,100%,WI
Alexandria,13241,57147,100%,VA
Covington,13222,2379,100%,AL
Dickson,13213,4718,100%,TN
Upshur,13198,2378,100%,TX
Shelby,13196,6276,100%,KY
Habersham,13184,2483,100%,GA
Clinton,13181,13446,100%,NY
Woodford,13180,5068,100%,IL
Yolo,13178,34460,100%,CA
Valencia,13175,10810,100%,NM
Cooke,13174,2345,100%,TX
Scott,13168,3574,100%,MO
Anderson,13165,3358,100%,TX
McClain,13151,2893,100%,OK
Stone,13149,2886,100%,MO
Jefferson,13144,9458,100%,WV
Carson City,13125,9610,100%,NV
Lowndes,13124,11545,100%,MS
Eddy,13124,5008,100%,NM
Franklin,13101,4711,100%,IL
Gloucester,13087,5399,100%,VA
Lawrence,13084,2898,100%,MO
Calaveras,13072,7738,100%,CA
Garfield,13071,11205,100%,CO
Callaway,13052,4988,100%,MO
Fayette,13046,5865,100%,TN
Benton,13030,28431,100%,OR
Highland,13005,3436,100%,OH
San Patricio,13004,7825,100%,TX
Marinette,12995,6243,100%,WI
Harrison,12993,4776,100%,IN
Coles,12985,7285,100%,IL
Tallapoosa,12967,5271,100%,AL
Columbia,12967,9959,100%,OR
Webb,12946,42297,100%,TX
Tioga,12928,3642,100%,PA
Morrison,12925,3637,100%,MN
Itasca,12920,9015,100%,MN
Cherokee,12896,3466,100%,TX
Oconee,12885,5253,100%,GA
Walker,12878,6085,100%,TX
Benton,12872,5640,100%,MN
Chaves,12869,5530,100%,NM
Jackson,12857,3843,100%,IN
Waterbury,12836,19866,100%,CT
LaClede,12834,2543,100%,MO
Webster,12829,3173,100%,MO
Pettis,12792,4322,100%,MO
Kandiyohi,12785,7266,100%,MN
Portsmouth,12773,28462,100%,VA
Washington,12770,8238,100%,NY
Fulton,12759,5805,100%,NY
Columbia,12756,13123,100%,NY
Shawano,12742,6056,100%,WI
Pittsburg,12740,3704,100%,OK
Bristol,12739,12476,100%,CT
Shelby,12718,4247,100%,IN
Phelps,12699,4761,100%,MO
Clarke,12691,29514,100%,GA
Graves,12671,3308,100%,KY
Monroe,12614,5522,100%,IL
Whiteside,12597,11005,100%,IL
Osage,12559,5593,100%,OK
Washington,12552,5690,100%,LA
Clarion,12545,4256,100%,PA
Tioga,12528,6852,100%,NY
La Plata,12471,15300,100%,CO
Lawrence,12419,2821,100%,TN
Laurens,12401,6737,100%,GA
Clinton,12394,3939,100%,IL
Ottawa,12389,8136,100%,OH
Southington,12383,9890,100%,CT
Grant,12347,10047,100%,WI
Isabella,12338,11404,100%,MI
Marshall,12322,3672,100%,KY
Champaign,12314,4488,100%,OH
Yuba,12313,7234,100%,CA
Lea,12306,3877,100%,NM
Norwalk,12288,24229,100%,CT
Camden,12287,5914,100%,GA
Marshall,12286,4798,100%,IN
Otsego,12284,9285,100%,NY
Boone,12261,8952,100%,IL
Beauregard,12238,2393,100%,LA
Boone,12225,2925,100%,AR
Coryell,12212,5057,100%,TX
Noble,12198,3904,100%,IN
Kay,12168,3734,100%,OK
Henderson,12159,6707,100%,KY
McLeod,12155,4978,100%,MN
Sweetwater,12153,3233,100%,WY
Duplin,12151,8196,100%,NC
Winona,12122,11366,100%,MN
DeKalb,12054,3941,100%,IN
Medina,12054,4624,100%,TX
Shelton,12051,8001,100%,CT
Macon,12035,4841,100%,NC
Warren,12032,4828,100%,PA
Peabody,12029,14385,100%,MA
Fairfield,12024,17859,100%,CT
Brown,12010,1621,100%,TX
Floyd,11993,4015,100%,KY
Lincoln,11992,2878,100%,NE
Navarro,11984,3998,100%,TX
Wise,11983,2687,100%,VA
Isle of Wight,11971,7673,100%,VA
Weymouth,11951,15278,100%,MA
Napa,11946,26161,100%,CA
Harris,11931,4082,100%,GA
Orangeburg,11909,26258,100%,SC
Wyoming,11884,3585,100%,NY
Powhatan,11875,4057,100%,VA
Franklin,11819,10717,100%,KY
Alcorn,11817,2684,100%,MS
Haverhill,11809,15104,100%,MA
Delaware,11796,3306,100%,OK
Warren,11762,5165,100%,VA
Otero,11756,6033,100%,NM
Clayton,11740,75908,100%,GA
Morrow,11722,3711,100%,OH
Allegany,11712,4473,100%,NY
Snyder,11710,3991,100%,PA
Williams,11706,4287,100%,OH
Jefferson,11681,4408,100%,IL
Marion,11677,4231,100%,IL
Oneida,11677,8103,100%,WI
Pickens,11651,1977,100%,GA
Huntington,11649,3506,100%,IN
Delta,11584,4048,100%,CO
Cerro Gordo,11583,9840,100%,IA
Orleans,11582,4327,100%,NY
District of Columbia,11553,260223,100%,DC
Mayes,11550,3423,100%,OK
Greenup,11546,4146,100%,KY
Greene,11546,6370,100%,NY
Webster,11538,6259,100%,LA
Elbert,11536,3056,100%,CO
Franklin,11526,4372,100%,TN
Dunn,11487,9025,100%,WI
Defiance,11478,5282,100%,OH
Bedford,11455,3384,100%,TN
Monroe,11442,7047,100%,WI
Barry,11427,2710,100%,MO
Danbury,11393,15668,100%,CT
Franklin,11358,7839,87%,WA
Whitley,11357,3379,100%,IN
Morton,11319,3077,100%,ND
Madison,11319,4662,100%,OH
Whitley,11312,2067,100%,KY
Cheatham,11295,3877,100%,TN
Miller,11293,4273,100%,AR
Dare,11283,7079,100%,NC
Marion,11273,1432,100%,AL
Pierce,11260,8380,100%,WI
Clinton,11249,10079,100%,IA
Thomas,11225,7138,100%,GA
Siskiyou,11212,7106,100%,CA
Erath,11205,2159,100%,TX
Steele,11198,6239,100%,MN
Fremont,11167,4200,100%,WY
Guernsey,11164,4286,100%,OH
Avoyelles,11163,5032,100%,LA
McKean,11159,3802,100%,PA
Barnstable,11142,12862,100%,MA
Person,11116,7772,100%,NC
Park,11115,2535,100%,WY
Delta,11112,6431,100%,MI
Warren,11109,3915,100%,MO
Greenwich,11096,16253,100%,CT
Gibson,11079,3720,100%,IN
Knox,11077,3772,100%,IN
Stoddard,11077,1873,100%,MO
Ohio,11077,5452,100%,WV
Wayne,11077,3334,100%,WV
Stevens,11059,4348,67%,WA
Montgomery,11051,3362,100%,IN
Branch,11025,4740,100%,MI
Chenango,11024,5943,100%,NY
Delaware,11012,5825,100%,NY
Polk,11006,2863,100%,GA
Lafayette,10977,4047,100%,MO
Washington,10944,3381,100%,TX
Wallingford,10940,10651,100%,CT
Marion,10940,5469,100%,IA
Bingham,10907,2924,100%,ID
Springfield,10890,38235,100%,MA
Jackson,10889,11619,100%,IL
Sequoyah,10888,3061,100%,OK
Humboldt,10883,19596,100%,CA
Becker,10880,5208,100%,MN
Lafayette,10872,7968,100%,MS
Platte,10864,2612,100%,NE
Stephenson,10845,7531,100%,IL
Lincoln,10838,2423,100%,OK
Athens,10816,15552,100%,OH
Fall River,10792,17272,100%,MA
Beltrami,10783,8688,100%,MN
Jefferson Davis,10775,3080,100%,LA
Walla Walla,10775,7550,81%,WA
Lincoln,10761,7102,100%,LA
Lawrence,10732,3611,100%,AL
Cherokee,10711,2809,100%,NC
Clark,10710,4706,100%,KY
Hopkins,10704,2508,100%,TX
Nez Perce,10699,4828,100%,ID
Greene,10698,3056,100%,AR
Knox,10658,9939,100%,IL
Carroll,10653,2557,100%,VA
Lee,10641,3166,100%,GA
Putnam,10637,3356,100%,IN
Huron,10629,4579,100%,MI
Emmet,10616,6972,100%,MI
Union,10605,6138,100%,PA
Montgomery,10579,5961,100%,NY
Jasper,10578,2582,100%,TX
Jasper,10556,7108,100%,IA
Lincoln,10550,4458,100%,MS
Stratford,10534,13729,100%,CT
Waller,10525,5744,100%,TX
Christian,10522,3982,100%,IL
Madison,10518,2663,100%,NE
Bryan,10513,4010,100%,GA
Orange,10511,5955,100%,VA
Wakulla,10507,4348,100%,FL
Louisa,10507,6208,100%,VA
Lowell,10495,23186,100%,MA
Gilmer,10465,1955,100%,GA
Bryan,10449,2793,100%,OK
Gillespie,10445,2286,100%,TX
Transylvania,10441,6520,100%,NC
Polk,10435,2630,100%,MO
Pontotoc,10420,3633,100%,OK
Greene,10394,4157,100%,PA
Coshocton,10381,3908,100%,OH
Lincoln,10375,2550,100%,TN
Calloway,10367,4749,100%,KY
Evangeline,10357,4208,100%,LA
Murray,10340,1799,100%,GA
Van Wert,10328,2667,100%,OH
Box Elder,10324,1814,100%,UT
New Bedford,10319,20749,100%,MA
Pulaski,10314,4170,100%,VA
Mecosta,10305,5827,100%,MI
Baker,10294,2112,100%,FL
Escambia,10282,4698,100%,AL
Billerica,10282,10016,100%,MA
Greene,10275,2929,100%,IN
Sheridan,10266,2926,100%,WY
Fayette,10263,4246,100%,WV
Amador,10239,5904,100%,CA
St. Bernard,10232,4957,100%,LA
Dougherty,10227,23224,100%,GA
Bonner,10220,5140,100%,ID
Union,10201,5667,100%,AR
Richmond,10199,8290,100%,NC
Livingston,10197,4005,100%,IL
Garrett,10189,2252,100%,MD
Dyer,10175,2815,100%,TN
Methuen,10162,11563,100%,MA
Wharton,10149,4238,100%,TX
Steuben,10127,3741,100%,IN
Monroe,10107,5485,100%,MS
Talbot,10098,7865,100%,MD
Hill,10075,2535,100%,TX
Webster,10049,6293,100%,IA
Wythe,10044,2765,100%,VA
Williams,10033,1722,100%,ND
Iron,10025,2104,88%,UT
Newberry,10011,6212,100%,SC
Wexford,10000,4436,100%,MI
Wells,9999,2585,100%,IN
Randolph,9992,3421,100%,IL
Cherokee,9992,5455,100%,OK
Cass,9982,4949,100%,MN
Perry,9978,4072,100%,OH
Miami,9975,2766,100%,IN
Geneva,9967,1522,100%,AL
Scotts Bluff,9952,3151,100%,NE
Independence,9925,2878,100%,AR
Lincoln,9901,12300,100%,OR
Colquitt,9892,3460,100%,GA
Knox,9885,1761,100%,KY
Dawson,9880,1444,100%,GA
Gratiot,9878,5665,100%,MI
Uintah,9876,1002,100%,UT
Pulaski,9870,2918,89%,MO
Taunton,9868,12143,100%,MA
Logan,9866,2082,100%,WV
Campbell,9860,2248,100%,TN
Union,9849,1962,100%,GA
Kittitas,9845,7190,91%,WA
Miami,9839,3949,100%,KS
Chicopee,9837,12332,100%,MA
Wabash,9819,3018,100%,IN
Riley,9817,8892,100%,KS
Ripley,9806,2471,100%,IN
Cocke,9791,1980,100%,TN
White,9751,1672,100%,GA
Smyth,9747,2661,100%,VA
Trumbull,9744,9292,100%,CT
Dodge,9736,4451,100%,NE
Iroquois,9728,2496,100%,IL
Stark,9718,1745,100%,ND
Jackson,9706,7564,100%,NC
Elk,9704,3637,100%,PA
Clinton,9701,4533,100%,PA
Halifax,9698,6890,100%,VA
Cass,9697,3758,100%,IN
Tooele,9693,4015,94%,UT
Plymouth,9659,2878,100%,IA
Douglas,9657,11342,100%,WI
Tompkins,9647,25555,100%,NY
Amherst,9643,4986,100%,VA
Adams,9642,2802,100%,IN
Austin,9637,2319,100%,TX
Fannin,9622,1920,100%,GA
Jackson,9618,3142,100%,OH
Lumpkin,9613,2216,100%,GA
Brown,9613,5452,100%,SD
Teller,9580,3547,100%,CO
Haralson,9579,1474,100%,GA
Chesterfield,9576,7125,100%,SC
Coffee,9575,4090,100%,GA
Gallia,9567,2564,100%,OH
Marshall,9565,2894,100%,WV
Muscatine,9549,8284,100%,IA
Fannin,9536,2123,100%,TX
Warren,9535,3535,100%,TN
Obion,9525,2425,100%,TN
Russell,9516,2328,100%,VA
Preston,9501,2462,100%,WV
Greenbrier,9499,3743,100%,WV
Henry,9483,3061,100%,TN
Des Moines,9479,8178,100%,IA
Franklin,9466,2197,100%,AL
Cleburne,9454,2101,100%,AR
Pontotoc,9442,2123,100%,MS
Warren,9420,8518,100%,MS
Marion,9418,2993,100%,MO
Muhlenberg,9393,3272,100%,KY
Jasper,9382,3329,100%,IN
Ashe,9353,3476,100%,NC
Okeechobee,9342,3953,100%,FL
Imperial,9318,23887,100%,CA
Salem,9312,6068,100%,NH
Miller,9285,1750,100%,MO
Bureau,9264,6010,100%,IL
Enfield,9238,8548,100%,CT
Derry,9237,6825,100%,NH
Jefferson,9231,15721,100%,AR
Winston,9225,871,100%,AL
Russell,9210,9577,100%,AL
Cortland,9207,7976,100%,NY
Adams,9205,3272,100%,NE
Madison,9195,2423,100%,GA
Le Sueur,9182,4623,100%,MN
Cass,9182,2250,100%,TX
Lynn,9174,21841,100%,MA
Coventry,9162,7004,100%,RI
Union,9161,1969,100%,MS
Prince George,9157,6419,100%,VA
Henry,9136,3690,100%,OH
Harlan,9129,1372,100%,KY
Marshall,9125,7623,100%,IA
Chippewa,9120,5378,100%,MI
Alpena,9090,4877,100%,MI
Colleton,9083,7616,100%,SC
Currituck,9070,2879,100%,NC
Carroll,9067,3124,100%,OH
Morgan,9060,4693,100%,IL
Weakley,9001,2770,100%,TN
Caroline,8999,3747,100%,MD
Polk,8979,4712,100%,MN
Natchitoches,8965,7143,100%,LA
Westfield,8962,8172,100%,MA
Jackson,8959,2648,100%,WV
Mineral,8957,2019,100%,WV
Halifax,8954,15642,100%,NC
Madison,8941,1201,100%,ID
Okmulgee,8926,4379,100%,OK
Bradford,8913,2924,100%,FL
Texas,8875,1728,100%,MO
Hancock,8870,3247,100%,WV
Mower,8826,7444,100%,MN
Monroe,8821,3570,100%,GA
Cherokee,8809,1524,100%,AL
Freeborn,8808,6041,100%,MN
Lee,8762,6195,100%,IA
Wapello,8710,5591,100%,IA
Brown,8708,3763,100%,MN
Brockton,8707,25075,100%,MA
Green,8693,9121,100%,WI
Tift,8680,3892,100%,GA
Cheboygan,8680,4302,100%,MI
Charlevoix,8674,5137,100%,MI
Torrington,8673,5713,100%,CT
Franklin,8665,1967,100%,IN
Meriden,8661,12788,100%,CT
Meade,8660,3026,100%,KY
George,8652,1013,100%,MS
Rhea,8650,1942,100%,TN
Fayette,8648,2127,100%,TX
Clark,8645,4225,100%,WI
McCurtain,8642,1799,100%,OK
Washington,8630,2261,100%,FL
Montgomery,8616,3490,100%,IL
Atascosa,8598,4635,100%,TX
Lee,8597,5499,100%,IL
Claiborne,8589,1831,100%,TN
Door,8584,8026,100%,WI
Accomack,8582,6737,100%,VA
Dickinson,8580,3923,100%,MI
Holmes,8578,1766,100%,OH
Daviess,8545,1800,100%,IN
Hardin,8541,2870,100%,OH
Jefferson,8538,4325,100%,IN
Clinton,8530,2819,100%,IN
Clay,8528,2306,100%,IN
Bladen,8511,7021,100%,NC
Ware,8508,3436,100%,GA
Clare,8507,4250,100%,MI
Mason,8505,5281,100%,MI
Harvey,8503,5006,100%,KS
Decatur,8488,2121,100%,IN
Todd,8485,2783,100%,MN
Fulton,8482,6118,100%,IL
Houghton,8475,6018,100%,MI
Antrim,8469,4448,100%,MI
Montgomery,8466,2557,100%,KS
Adams,8445,2293,100%,OH
Panola,8445,1835,100%,TX
Meade,8441,2223,100%,SD
Attleboro,8437,10304,100%,MA
Jefferson,8436,976,100%,ID
Nicollet,8436,7886,100%,MN
McPherson,8407,3183,100%,KS
Lincoln,8400,5370,100%,WI
Crawford,8394,5064,100%,KS
Posey,8393,3515,100%,IN
Cass,8388,3461,100%,NE
Crook,8388,2591,100%,OR
Itawamba,8385,1100,100%,MS
Union,8378,3221,100%,OR
Wyoming,8375,3573,100%,PA
Goochland,8374,4884,100%,VA
Tewksbury,8372,7511,100%,MA
Manchester,8358,15132,100%,CT
Braintree,8356,10317,100%,MA
Iosco,8344,4344,100%,MI
Mille Lacs,8340,3709,100%,MN
Taylor,8320,2553,100%,KY
Dracut,8319,6626,100%,MA
Ellis,8311,2669,100%,KS
Jones,8304,3960,100%,GA
Llano,8283,1825,100%,TX
Mecklenburg,8283,6571,100%,VA
Hocking,8282,3713,100%,OH
Woburn,8271,10746,100%,MA
Otsego,8266,3556,100%,MI
Saline,8248,2551,100%,IL
Garvin,8243,1852,100%,OK
Anderson,8242,2634,100%,KY
Scott,8242,1579,100%,VA
Juniata,8234,1810,100%,PA
Benton,8226,4672,100%,IA
Jennings,8222,2364,100%,IN
Palo Pinto,8222,1700,100%,TX
Grayson,8219,1959,100%,KY
Edgecombe,8219,16152,100%,NC
Shelby,8209,2279,100%,IL
Washington,8206,2636,100%,IN
Pine,8191,4580,100%,MN
Leominster,8180,9793,100%,MA
Schoharie,8173,3777,100%,NY
Vilas,8169,4769,100%,WI
Logan,8167,3301,100%,IL
Marshall,8167,2848,100%,TN
Carlton,8160,8460,100%,MN
Bandera,8159,1726,100%,TX
Perry,8158,2136,100%,KY
Hot Spring,8153,3137,100%,AR
Eagle,8153,12652,100%,CO
Wayne,8147,2039,100%,GA
Matagorda,8147,3357,100%,TX
Roscommon,8141,4287,100%,MI
Gladwin,8124,3794,100%,MI
Henderson,8118,1796,100%,TN
New Kent,8117,3545,100%,VA
Morgan,8104,3128,100%,CO
Meeker,8103,3192,100%,MN
Pasquotank,8082,8455,100%,NC
De Soto,8067,5163,100%,LA
San Jacinto,8050,2034,100%,TX
Johnson,8043,1250,100%,KY
Boyle,8040,4281,100%,KY
Dunklin,8026,2360,100%,MO
Graham,8025,3301,100%,AZ
Cowley,8016,3436,100%,KS
Hardin,8012,1622,100%,TN
Union,7972,2691,100%,LA
Giles,7964,2915,100%,TN
Ohio,7942,2080,100%,KY
Dorchester,7938,5695,100%,MD
Sabine,7877,1703,100%,LA
Mingo,7876,1365,100%,WV
Montgomery,7856,3158,100%,KY
McNairy,7839,1847,100%,TN
Churchill,7828,2210,100%,NV
Page,7824,2514,100%,VA
Custer,7818,2102,100%,OK
Concord,7812,12984,100%,NH
Chambers,7803,5763,100%,AL
Clatsop,7794,8899,100%,OR
Hamden,7790,18962,100%,CT
Rochester,7789,6267,100%,NH
Logan,7778,2755,100%,KY
West Haven,7774,12477,100%,CT
Montezuma,7771,3920,100%,CO
Barton,7766,1823,100%,KS
Bell,7764,1720,100%,KY
Codington,7764,3174,100%,SD
Fayette,7763,2672,100%,OH
Pike,7748,7636,100%,MS
Mercer,7740,2395,100%,KY
Jersey,7737,2673,100%,IL
Carroll,7731,2323,100%,TN
Watertown,7730,3732,100%,CT
Aransas,7730,2458,100%,TX
Crawford,7724,1824,100%,MO
Randolph,7697,2290,100%,AL
Woodford,7697,4958,100%,KY
Marion,7697,3572,100%,MS
Baldwin,7691,7965,100%,GA
Stephens,7682,1835,100%,GA
Pike,7681,5039,100%,AL
Marion,7680,2829,100%,TN
Hoke,7676,9608,100%,NC
Oktibbeha,7671,7851,100%,MS
Pike,7669,3443,100%,OH
Waushara,7669,3802,100%,WI
White,7657,1842,100%,TN
Prentiss,7647,2067,100%,MS
Newton,7644,35395,100%,MA
Franklin,7636,6517,100%,NY
Ottawa,7627,2584,100%,OK
Neshoba,7613,2668,100%,MS
Providence,7613,44562,100%,RI
Albany,7601,6888,100%,WY
Mason,7597,2069,100%,WV
Chelmsford,7596,10529,100%,MA
Carter,7587,2276,100%,KY
Randolph,7583,2724,100%,WV
Lassen,7574,2224,100%,CA
Kauai,7574,16456,100%,HI
St. John the Baptist,7569,12658,100%,LA
Medford,7561,20037,100%,MA
Curry,7560,2776,100%,NM
Lee,7542,1627,100%,VA
Glastonbury,7531,11049,100%,CT
Randolph,7529,2283,100%,MO
Montague,7526,885,100%,TX
Johnston,7520,5620,100%,RI
Randolph,7515,2446,100%,IN
Waltham,7494,17103,100%,MA
Saunders,7486,2509,100%,NE
Holmes,7476,852,100%,FL
Boone,7458,5517,100%,IA
Lake,7453,4703,100%,MT
Pottawatomie,7451,2191,100%,KS
Dinwiddie,7447,5765,100%,VA
Agawam,7421,6208,100%,MA
Cumberland,7412,8621,100%,RI
Lawrence,7411,3356,100%,SD
Grant,7406,1181,100%,LA
Mahaska,7404,2606,100%,IA
Merrimack,7397,6405,100%,NH
Simpson,7393,3871,100%,MS
Tate,7385,3804,100%,MS
Washington,7374,2606,100%,NE
Panola,7371,7300,100%,MS
Trempealeau,7370,5645,100%,WI
Fayette,7363,1814,100%,IL
Jerome,7347,2117,100%,ID
Wyandot,7346,2484,100%,OH
LaVaca,7339,1170,100%,TX
Lincoln,7338,1865,100%,KY
Londonderry,7338,5968,100%,NH
King George,7338,4002,100%,VA
Osceola,7336,2705,100%,MI
Iberville,7320,8324,100%,LA
Naugatuck,7310,5219,100%,CT
Danville,7306,11051,100%,VA
Vance,7304,12168,100%,NC
Lewiston,7301,8189,100%,ME
Letcher,7293,1542,100%,KY
Buchanan,7292,1721,100%,VA
Upson,7288,3471,100%,GA
Hart,7285,2583,100%,GA
Essex,7275,6760,100%,NY
Pike,7273,1239,100%,GA
Logan,7272,1843,100%,CO
Chester,7272,6582,100%,SC
Hubbard,7269,3432,100%,MN
Grant,7268,1910,100%,KY
Lyon,7256,3825,100%,MN
Latah,7255,8093,100%,ID
Saugus,7252,6319,100%,MA
Clarendon,7246,7635,100%,SC
Leelanau,7239,6774,100%,MI
Oceana,7228,3973,100%,MI
Salem,7225,4212,100%,VA
Hudson,7220,5306,100%,NH
Benton,7212,2024,100%,MO
Douglas,7208,3600,70%,WA
Bremer,7199,5349,100%,IA
North Haven,7197,5735,100%,CT
Spencer,7196,1921,100%,KY
Marshfield,7190,7288,100%,MA
Juneau,7188,4100,100%,WI
Tippah,7182,1808,100%,MS
Shelby,7171,1757,100%,TX
Nicholas,7169,1821,100%,WV
Summit,7160,10251,100%,UT
Curry,7157,4253,100%,OR
Caroline,7143,6425,100%,VA
Malheur,7141,2213,100%,OR
West Hartford,7131,20215,100%,CT
Newtown,7130,7395,100%,CT
Middletown,7124,12957,100%,CT
Tishomingo,7117,990,100%,MS
Clarke,7109,5712,100%,AL
Ray,7103,3088,100%,MO
East Providence,7101,11858,100%,RI
Henry,7072,2356,100%,MO
Montgomery,7070,4108,100%,NC
Grimes,7065,2194,100%,TX
Martin,7062,2733,100%,MN
Clinton,7058,2572,100%,MO
Union,7058,4727,100%,SC
Falmouth,7055,11107,100%,MA
Franklin,7054,1243,100%,GA
Washington,7047,1926,100%,MO
Hutchinson,7039,854,100%,TX
Framingham,7031,20277,100%,MA
LaGrange,7025,2080,100%,IN
Franklin,7025,2829,100%,KS
Fluvanna,7018,5751,100%,VA
Vernon,6994,6351,100%,WI
East Haven,6992,5491,100%,CT
Franklin,6990,9465,100%,MA
Wabasha,6989,3866,100%,MN
Mississippi,6988,5621,100%,AR
Audrain,6981,2567,100%,MO
Upshur,6971,1763,100%,WV
Wayne,6963,1048,100%,IL
Crittenden,6953,8368,100%,AR
West Baton Rouge,6926,5382,100%,LA
Taylor,6923,2149,100%,FL
Lewis,6916,2828,100%,NY
Manistee,6915,4979,100%,MI
Cheshire,6907,7212,100%,CT
Perry,6907,1520,100%,MO
North Providence,6907,7717,100%,RI
Plaquemines,6900,3347,100%,LA
Beverly,6878,13046,100%,MA
Revere,6877,11870,100%,MA
Meigs,6869,2157,100%,OH
Allen,6867,2106,100%,LA
New Milford,6863,6136,100%,CT
Russell,6863,1093,100%,KY
Sumner,6844,2039,100%,KS
Edgefield,6842,4491,100%,SC
Fayette,6839,2252,100%,IN
Ogemaw,6827,3030,100%,MI
Perry,6816,2433,100%,IL
